idJugador,nombre,cantidadPartidas,rating
datajunkie,classical,41,2412
datajunkie,correspondence,0,1500
belyakovbogdan,bullet,483,2747
belyakovbogdan,blitz,859,2583
belyakovbogdan,rapid,215,2725
belyakovbogdan,classical,0,1500
belyakovbogdan,correspondence,0,1500
belyakovbogdan,puzzle,203,2552
plemsovhoz,ultraBullet,62,1871
plemsovhoz,bullet,2595,2818
plemsovhoz,blitz,5163,2717
plemsovhoz,rapid,271,2599
plemsovhoz,classical,281,2593
plemsovhoz,correspondence,9,1840
plemsovhoz,chess960,4,1944
plemsovhoz,kingOfTheHill,21,2179
plemsovhoz,threeCheck,11,2008
plemsovhoz,antichess,11,1441
plemsovhoz,atomic,5,1359
plemsovhoz,crazyhouse,4,1464
plemsovhoz,puzzle,1490,2620
cjota95,ultraBullet,137,2079
cjota95,bullet,2299,3056
cjota95,blitz,1241,2880
cjota95,rapid,158,2721
cjota95,classical,79,2520
cjota95,correspondence,0,1500
cjota95,chess960,91,2505
cjota95,kingOfTheHill,13,2243
cjota95,antichess,4,1872
cjota95,atomic,77,1771
cjota95,horde,86,2181
cjota95,crazyhouse,86,2353
cjota95,puzzle,5687,3075
vlad_lazarev79,ultraBullet,1,1741
vlad_lazarev79,bullet,131,2169
vlad_lazarev79,blitz,386,2468
vlad_lazarev79,rapid,49,2383
vlad_lazarev79,classical,285,2474
vlad_lazarev79,correspondence,1,1492
vlad_lazarev79,atomic,3,1633
vlad_lazarev79,horde,1,1750
vlad_lazarev79,puzzle,4539,2575
teodorvasilov,bullet,0,1500
teodorvasilov,blitz,0,1500
teodorvasilov,rapid,0,1500
teodorvasilov,classical,104,2474
teodorvasilov,correspondence,0,1500
teodorvasilov,puzzle,462,2658
igormezentsev,ultraBullet,303,1205
igormezentsev,bullet,2218,2262
igormezentsev,blitz,2631,2259
igormezentsev,rapid,276,2547
igormezentsev,classical,227,2470
igormezentsev,correspondence,107,2377
igormezentsev,crazyhouse,6,1714
igormezentsev,puzzle,2986,2540
tinea,ultraBullet,1,1295
tinea,bullet,1616,2519
tinea,blitz,695,2529
tinea,rapid,162,2417
tinea,classical,232,2455
tinea,correspondence,0,1500
tinea,chess960,13,1731
tinea,kingOfTheHill,1,1025
tinea,puzzle,473,2779
rtfm2300,ultraBullet,7,1852
rtfm2300,bullet,385,2802
rtfm2300,blitz,311,2579
rtfm2300,rapid,72,2608
rtfm2300,classical,55,2447
rtfm2300,correspondence,0,1500
rtfm2300,chess960,8,2467
rtfm2300,kingOfTheHill,69,2328
rtfm2300,threeCheck,36,2328
rtfm2300,puzzle,165,2612
thorwald5,ultraBullet,14,1803
thorwald5,bullet,1254,2670
thorwald5,blitz,2581,2499
thorwald5,rapid,955,2497
thorwald5,classical,689,2447
thorwald5,correspondence,0,1500
thorwald5,chess960,119,2287
thorwald5,threeCheck,85,2069
thorwald5,antichess,15,1724
thorwald5,atomic,121,1637
thorwald5,horde,121,2000
thorwald5,puzzle,73,2672
anindianchessplayer,ultraBullet,8414,2345
anindianchessplayer,bullet,12647,2745
anindianchessplayer,blitz,4672,2614
anindianchessplayer,rapid,853,2544
anindianchessplayer,classical,114,2446
anindianchessplayer,correspondence,133,2307
anindianchessplayer,chess960,1543,2465
anindianchessplayer,kingOfTheHill,2139,2250
anindianchessplayer,threeCheck,929,2252
anindianchessplayer,antichess,247,1871
anindianchessplayer,atomic,356,1650
anindianchessplayer,horde,525,2297
anindianchessplayer,racingKings,643,2071
anindianchessplayer,crazyhouse,578,2293
anindianchessplayer,puzzle,2184,2248
jumpingknight20,ultraBullet,292,1939
jumpingknight20,bullet,1898,3019
jumpingknight20,blitz,1535,2704
jumpingknight20,rapid,221,2774
jumpingknight20,classical,33,2418
jumpingknight20,correspondence,0,1500
jumpingknight20,chess960,355,2653
jumpingknight20,puzzle,3045,3025
realdavidnavara,bullet,231,3023
realdavidnavara,blitz,1244,2853
realdavidnavara,rapid,344,2906
realdavidnavara,classical,17,2421
realdavidnavara,correspondence,0,1500
realdavidnavara,chess960,2231,2650
realdavidnavara,kingOfTheHill,100,2418
realdavidnavara,threeCheck,51,2350
realdavidnavara,horde,62,2200
realdavidnavara,puzzle,633,2836
aronyak1,ultraBullet,40,2011
aronyak1,bullet,7893,3055
aronyak1,blitz,6064,2787
aronyak1,rapid,99,2420
aronyak1,classical,0,1500
aronyak1,correspondence,0,1500
aronyak1,chess960,311,2638
aronyak1,kingOfTheHill,153,2190
aronyak1,threeCheck,97,2140
aronyak1,crazyhouse,127,2532
aronyak1,puzzle,2013,2793
homayooont,ultraBullet,2481,2149
homayooont,bullet,4346,3030
homayooont,blitz,1351,2763
homayooont,rapid,129,2969
homayooont,classical,11,2735
homayooont,correspondence,0,1500
homayooont,chess960,1612,2542
homayooont,kingOfTheHill,2271,2535
homayooont,threeCheck,1617,2457
homayooont,horde,814,2474
homayooont,crazyhouse,2678,2459
adridem,bullet,5664,2998
adridem,blitz,973,2803
adridem,rapid,22,2518
adridem,classical,4,2211
adridem,correspondence,0,1500
adridem,chess960,203,2526
adridem,kingOfTheHill,205,2452
adridem,threeCheck,72,2400
adridem,atomic,50,1866
adridem,horde,372,2509
adridem,crazyhouse,3855,2647
adridem,puzzle,61,2423
nalkwsfa,bullet,0,1500
nalkwsfa,blitz,839,2652
nalkwsfa,rapid,0,1500
nalkwsfa,classical,0,1500
nalkwsfa,correspondence,0,1500
nalkwsfa,chess960,267,2520
nalkwsfa,puzzle,36,2907
